AdvisorID,AdvisorName,Channel,Province,Region,StartDate,ActiveFlag,Email
ADV9487791,Amy Sullivan,Career Sales Force,QC,East,2011-08-11,1,vparrish@gmail.com
ADV5020667,Tiffany Bishop MD,Career Sales Force,ON,Central,2019-12-12,1,ggonzalez@gmail.com
ADV1368804,Christopher Campos,Career Sales Force,QC,East,2014-04-16,1,uwhitaker@deleon.biz
ADV0818108,Elizabeth Little,Career Sales Force,MB,Central,2014-11-20,1,charles84@hotmail.com
ADV4462642,Sonya Morales,Career Sales Force,ON,Central,2009-02-18,1,klee@hotmail.com
ADV3035116,Kelly Gomez,Independent Advisor,QC,East,2009-06-11,1,courtney53@hotmail.com
ADV4177023,Roger Robinson,Career Sales Force,MB,Central,2012-09-25,1,dwalker@willis-crawford.net
ADV7083180,Ashley Brooks,Career Sales Force,BC,West,2023-04-11,1,ltownsend@hubbard.com
ADV1954666,Gregory Flores,Career Sales Force,ON,Central,2020-02-25,1,andrew77@browning-waller.com
ADV0528518,Adam Andrews,Independent Advisor,SK,West,2012-10-26,1,mark08@yahoo.com
ADV2297869,Vincent Howell,Independent Advisor,ON,Central,2020-03-09,1,thomas89@hall-berg.info
ADV1523224,Lisa Frost,Career Sales Force,QC,East,2016-07-25,1,christopher80@allen.com
ADV9634525,Elizabeth Webb,Career Sales Force,QC,East,2013-06-11,1,iwhitaker@phillips.com
ADV6257525,Jennifer Schneider,Group Plan Sponsor,AB,West,2018-09-26,1,leachhannah@schmidt.com
ADV7256338,Justin Griffith,Independent Advisor,ON,Central,2009-07-06,1,wallen@gmail.com
ADV3519576,Cynthia Collins,Independent Advisor,ON,Central,2019-11-28,1,richardkidd@harris.org
ADV3378188,Wendy David,Independent Advisor,BC,West,2018-06-26,1,william61@davis.com
ADV1168369,Jessica Banks,Bank/Partner,ON,Central,2017-06-16,1,marvin80@klein.com
ADV3292445,Juan Clements,Digital/Direct,QC,East,2021-08-05,0,chelsea49@burns.info
ADV2662402,Sarah Sparks,Independent Advisor,BC,West,2008-05-10,1,gregorylewis@webb.com
ADV9568777,Trevor Harvey,Independent Advisor,BC,West,2018-02-07,1,arellanocorey@gmail.com
ADV4628188,Samantha Rodriguez,Career Sales Force,ON,Central,2020-02-27,1,michael82@joseph.org
ADV1795385,David Bailey,Independent Advisor,ON,Central,2018-05-13,1,erussell@yahoo.com
ADV1264271,Angela Hull,Independent Advisor,NB,East,2018-08-01,1,donnajones@hotmail.com
ADV2403998,William Meyer,Career Sales Force,QC,East,2023-05-20,1,borozco@yahoo.com
ADV3083716,Mr. Neil King,Group Plan Sponsor,ON,Central,2018-06-24,0,ashleyhayden@rivera-navarro.com
ADV5914936,Colleen Hughes,Digital/Direct,ON,Central,2021-04-06,1,williamserica@gmail.com
ADV1725864,Daniel Browning,Career Sales Force,ON,Central,2022-02-23,1,iwells@hotmail.com
ADV1382643,Clifford Jones,Group Plan Sponsor,NU,West,2017-11-14,1,cookjustin@gmail.com
ADV7325786,Cindy Frazier,Career Sales Force,ON,Central,2009-09-06,1,garybeltran@gmail.com
ADV6722466,Jennifer Alvarado,Independent Advisor,ON,Central,2021-02-13,1,thomas96@gmail.com
ADV1738796,Tami Davis,Digital/Direct,QC,East,2023-01-07,1,nicole36@snyder-archer.net
ADV5138302,William Roy,Career Sales Force,ON,Central,2012-10-27,1,scarter@gmail.com
ADV5699558,Julie Brown,Independent Advisor,ON,Central,2014-03-01,1,wandalopez@martinez.com
ADV0547866,Christopher Rasmussen,Independent Advisor,PE,East,2010-05-16,1,lauren77@sanders.com
ADV6522762,John Gould,Career Sales Force,BC,West,2023-06-08,1,schroederpamela@ramirez.com
ADV8962924,Lisa White,Independent Advisor,ON,Central,2011-11-14,1,danielmelissa@burton.com
ADV8520367,Andre Smith,Career Sales Force,QC,East,2020-06-01,1,rharris@walker.com
ADV2171045,Michael Ruiz,Independent Advisor,ON,Central,2017-12-18,1,cooperzachary@hotmail.com
ADV2223003,Robin May,Career Sales Force,ON,Central,2009-09-04,1,philip86@spencer.com
ADV0350665,Morgan Rogers,Career Sales Force,QC,East,2008-05-28,1,vsawyer@hotmail.com
ADV6801368,Jeffrey Kaiser,Independent Advisor,QC,East,2022-10-08,1,kellypatrick@burns-murphy.org
ADV9544045,Cameron Barnes,Career Sales Force,BC,West,2009-05-24,1,padillavictoria@campbell.org
ADV2783919,Dana Cummings,Independent Advisor,MB,Central,2012-06-30,1,ana65@yahoo.com
ADV7263712,Ann Cooper,Independent Advisor,ON,Central,2012-09-04,1,davidbenton@jones-norton.com
ADV3136651,Victoria Zhang,Bank/Partner,SK,West,2022-05-05,1,hannahjames@fisher.com
ADV2921403,Hannah Gilbert,Career Sales Force,QC,East,2013-06-13,1,bautistajessica@gmail.com
ADV8274365,Connie Fisher,Digital/Direct,ON,Central,2016-11-26,1,daniel56@gmail.com
ADV3291949,Christopher Kennedy,Independent Advisor,AB,West,2011-12-09,1,johndavis@kim.info
ADV3563256,Carl Briggs,Career Sales Force,ON,Central,2013-06-06,1,frankbrown@jones.info
ADV2761906,Katie Kelley,Bank/Partner,QC,East,2017-01-11,1,arianadaniels@evans.biz
ADV4676687,Karen Figueroa,Independent Advisor,BC,West,2013-12-19,1,jeffery86@gordon-green.com
ADV8422650,Raymond Beard,Independent Advisor,ON,Central,2019-03-03,1,hjordan@gmail.com
ADV2977102,Matthew Hodges,Independent Advisor,AB,West,2011-05-02,1,pamela15@pierce.com
ADV8574469,Megan Elliott,Independent Advisor,ON,Central,2013-02-13,1,beckerlaura@richardson-myers.org
ADV4593858,Lori Miranda,Group Plan Sponsor,AB,West,2011-04-05,1,josephlloyd@navarro.info
ADV4636367,Shirley Elliott,Independent Advisor,ON,Central,2018-11-24,1,mwright@gmail.com
ADV4437550,Molly Mendoza DDS,Bank/Partner,ON,Central,2008-08-15,1,snelson@gmail.com
ADV1088007,Laura Ortiz,Independent Advisor,ON,Central,2008-05-10,1,katherinewilliams@hotmail.com
ADV5362138,Jacob Barron,Digital/Direct,AB,West,2011-09-26,1,linda27@yahoo.com
ADV7158971,Tim Yang,Group Plan Sponsor,ON,Central,2011-12-28,0,tylercooper@hotmail.com
ADV2211353,Amanda Barr,Career Sales Force,MB,Central,2020-12-30,1,teresa72@randall.com
ADV4219528,Jennifer Lopez,Career Sales Force,ON,Central,2011-12-24,1,fjones@yahoo.com
ADV8916982,Donald Cox,Independent Advisor,QC,East,2012-07-27,1,courtney89@patton.org
ADV8445715,Brittany Singh,Independent Advisor,ON,Central,2022-10-18,1,longjessica@hotmail.com
ADV8520575,Thomas Moore,Independent Advisor,ON,Central,2020-11-08,1,jasondelgado@hoffman.com
ADV9650517,Monica Floyd,Bank/Partner,SK,West,2022-06-19,1,timpoole@hotmail.com
ADV1934129,Jennifer Nguyen,Digital/Direct,QC,East,2008-02-28,1,morgan62@eaton.org
ADV2596033,Jacob Rogers,Independent Advisor,BC,West,2012-12-07,0,maurice59@gmail.com
ADV2253243,Sean Cross,Independent Advisor,QC,East,2013-12-27,1,michael49@golden.net
ADV2495596,Rebecca Miller,Career Sales Force,QC,East,2023-12-03,1,robert06@king-osborne.net
ADV2344113,Traci Brown,Independent Advisor,QC,East,2017-05-04,1,kanejoseph@gmail.com
ADV9781454,Samantha Smith,Career Sales Force,MB,Central,2008-03-27,1,taylordavis@torres.biz
ADV4308904,Joshua Gonzalez,Independent Advisor,BC,West,2021-05-29,0,wwheeler@gmail.com
ADV5794798,Mark Duke,Independent Advisor,QC,East,2015-11-25,1,qvillarreal@myers-jones.net
ADV2840783,Douglas Lawrence DVM,Independent Advisor,QC,East,2009-04-09,1,salinascrystal@gmail.com
ADV4319050,Charles Murray,Independent Advisor,QC,East,2020-03-12,1,melissa67@hotmail.com
ADV6966898,Jeremy Thomas,Independent Advisor,QC,East,2019-09-15,1,markandrade@gmail.com
ADV2582608,Jacob Delgado,Career Sales Force,QC,East,2012-03-03,1,jeremy51@villanueva-perry.com
ADV6782481,Michael Harrell,Career Sales Force,QC,East,2019-03-15,1,youngmichael@hotmail.com
ADV8255683,Michael Young,Group Plan Sponsor,BC,West,2017-11-02,1,rgreer@hawkins-lara.biz
ADV1467739,Michelle Obrien,Digital/Direct,NB,East,2019-03-22,1,jonathan88@hamilton.com
ADV0109168,Charles Smith,Career Sales Force,NS,East,2023-11-24,1,darlenelindsey@hotmail.com
ADV7904566,Alan Kaiser,Career Sales Force,AB,West,2022-09-28,1,msimon@hotmail.com
ADV5314257,Jose Clark,Independent Advisor,QC,East,2014-05-10,1,zramirez@winters-petersen.com
ADV5506412,Francisco Thomas,Independent Advisor,BC,West,2019-12-20,1,christine30@hotmail.com
ADV7959129,Sarah Long,Independent Advisor,ON,Central,2011-05-19,1,meghanpark@gmail.com
ADV1623438,William Gonzales,Career Sales Force,QC,East,2008-05-21,1,jacksoncameron@gmail.com
ADV9550208,Michael Mccullough,Independent Advisor,ON,Central,2013-01-08,1,hopkinsmatthew@maynard.com
ADV2387605,Kevin Bonilla,Career Sales Force,ON,Central,2019-11-09,1,spencerhogan@gmail.com
ADV5379233,Miss Michelle Costa,Career Sales Force,NB,East,2012-12-14,1,christopher07@martinez-curtis.com
ADV8087458,Michelle Cohen,Career Sales Force,AB,West,2017-12-20,1,michaelbooth@hotmail.com
ADV7206109,Francisco Franco,Independent Advisor,QC,East,2017-03-21,1,riosstephanie@garza-collins.com
ADV4621030,Savannah Branch,Independent Advisor,ON,Central,2014-12-07,1,rose59@hotmail.com
ADV4355340,David Clark,Career Sales Force,BC,West,2016-08-08,1,beth52@gmail.com
ADV3994951,Lauren Santiago,Independent Advisor,QC,East,2018-06-18,1,scottburns@george-osborne.info
ADV8466375,Nicole Reynolds,Independent Advisor,AB,West,2008-08-15,1,uhansen@kennedy.com
ADV3272183,Paula Hernandez,Bank/Partner,NU,West,2011-07-29,1,iphillips@nguyen-wagner.com
ADV6786789,Jeffrey Harper,Group Plan Sponsor,ON,Central,2018-07-11,1,michael17@yahoo.com
ADV0718021,Tyler Lutz,Career Sales Force,ON,Central,2010-05-21,1,yperez@webb-bishop.com
ADV6005954,Thomas Harvey DDS,Digital/Direct,ON,Central,2008-12-31,1,austinoneill@gmail.com
ADV6535026,Matthew Chavez,Independent Advisor,ON,Central,2019-07-24,1,ginaevans@gmail.com
